subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
143,1,1,2,1,2,1,1,1, ,1,2.00,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
144,2,2,1,1,2,2,2,2,2,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2
149,1,2,1,1,2,1,1,2,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,2,2,1,2,4,3,2,2,3,2,4.50,2,2,1,1,3,1,1,1,2, ,1,2,2,1,1,1,1,1,1,1
153,2,1,1, , ,1,1,1,2,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,1,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,1,1,1,1,2,1,2,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,1,1,2,3,4.5,1,2,2, ,3,5.00,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
157,1,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,3,3,1,2,4,3,2,2,3,1,,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1
161,1,1,1,1,2,1,1,1,3,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,1,1,1,1,2,1,1,2,2,2,5.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
164,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,2,2,1,2,4.5,2,2,2,2,2,5.00,2,1,1,1,1,1,2,1,1,1,1,3,1,1,2,1,1,1,1,1
167,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,2,3,1,1,2,1,2,2,2,1,2.00,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,1,1,2,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,1,1,1,1,2,2,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
178,2,2,1,2,5,1,2,2,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
179,1,1,1,1,2,2,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
180,1,1,1,1,2,2,2,1,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,1,1,1,1,2,1,2,2,2,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
183,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
