subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,tting,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
250,1,2,1,2,3,2,1,1,2,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1
251,2,2,1,3,1.5,2,2,1,3,1,3,1,3,1,2,2,1,3,2,2,1,1,1,4,3,1,1,1,1,1,1
252,2,2,1,3,4.5,2,1,1, ,2,3.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
254, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
256,2,2,1,2, ,2,1,1, ,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
257,2,2,1,3,3.5,2,1,2,3,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
258,2,2,2,3,2.5,3,1,1,3,1,3,1,1,1,1,1,1,1,1,3, ,1,1,1,1,1,1,2,1,1,1
259,3,3,1,3,3,4,1,1,3,3,5,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,2,1
260,3,3,1,4,2.5,3,1,2,3,3,4,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
261,2,2,1,2,2,2,1,1,2,1,3,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1
262,2,1,1,3,2,2,1,2,2,1,3,2,3,1,1,3,1,1,1,3,2,1,2,1,1,2,1,1,1,1,1
263,3,2,2,3,3,3,1,2,3,1,3,2,2,2,1,3,1,1,1,4,3,1,1,4,1,1,1,2,3,1,1
266,2,2,2,3,2,2,2,2,3,3,3.5,2,2,2,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,1
267,3,2,1,3,2.5,2,1,1, ,2,3.5,1,2,1,1,1,1,1,1,3,1,1,1,2,1,1,2,1,2,1,1
268,3,3,2,3,2.5,4,2,1,2,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
270,4,2,2,4,3,3,2,2, ,3,4,2,3,1,1,4,1,4,1,3,1,2,1,3,1,1,1,1,1,1,1
272,2,2,1,2,4.5,4,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
274,1,2,1,3,3,1,2,2, ,2,3.5,2,2,3,1,1,2,3,2,2,1,1,3,3,1,1,1,1,1,1,1
275,2,2,1,2,2.5,2,1,1, ,2,5,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
276,2,2,1,2,2.5,2,1,1,1,2,4,1,2,1,1,1,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1
278,2,2,1,2,2.5,2,1,1, ,2,4,1,2,1,1,1,1,2,2,2,1,1,3,3,2,1,1,1,1,1,1
280,2,2,1,2,3,2,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
281,1,2,1,3,4.5,2,2,2,1,3,5,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
283,2,2,1,2,4.5,2,1,1,2,1,3,1,2,2,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
284,3,3,1,4,2,3,2,2,2,3,3.5,2,2,3,1,4,2,4,2,4,3,2,1,3,1,1,3,1,1,1,1
285,2,2,1,3,4,3,1,2,3,3,3.5,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1
286,2,2,1,4,3.5,2,1,1, ,2,4,1,1,1,1,1,1,1,2,2,1,1,1,3,1,1,2,2,1,1,1
288,2,2,1,2,2.5,3,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
289,2,2,1,2,2.5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
290,2,2,1,3,2,2,1,1,2,1,3,1,2,3,1,1,3,1,2,3,1,1,1,2,1, ,3,1,1,1,1
291,2,2,1,3,1.5,2,1,1, ,1,3,2,3,2,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1
292, , , , , , , , , ,1,3, ,2,2,1,1,3,4,3,2,1,1,1,1,1, ,2, , , , 
293,2,2,1,3,1.5,3,1,2,1,2,4,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
294,2,2,1,2,4.5,3,1,1, ,2,3.5,1,2,2,1,3,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1
295,2,2,1,3,2.5,2,1,1, ,2,3.5,1,2,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1
296,2,2,1,3,3,2,1,1,2,2,3.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
297,2,1,1,4,3.5,2,1,2, ,4,4,2,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1
298,2,2,1,2,3.5,3,1,1,2,1,3,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
299,3,3,1,2,2,2,1,1,2,2,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
304,2,2,1,4,3,2,1,1, ,3,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1
305,2,2,1,2,2.5,2,1,1, ,2,5,1,2,2,1,1,2,1,1,3,3,1,1,4,1,1,1,1,1,1,1
311,2,2,1,3,3,1,1,1, ,2,3.5,2,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
312,2,2,2,3,3.5,3,2,1,3,1,3,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1
314,2,4,1,4,4,2,2,2, ,3,4.5,2,2,2,1,4,1,1,1,3,1,1,2,1,2,1,1,2,1,1,1
315,3,2,1,3,4.5,3,1,2, ,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
316,1,2,1,3,4.5,2,2,2,3,3,5,1,2,2,1,3,2,3,1,4,3,3,3,2,1,2,1,1,1,1,1
317,2,2,2,3,2,2,1,1,2,2,5,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1
318,2,2,2,3,3,2,2,2,2,2,4,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1
319,2,2,1,2,2.5,2,1,2,2,1,3,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
321,2,2,1,2,3.5,2,1,1,3,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
322,3,2,1,2,3,3,2,2,2,1,3,2,3,1,2,2,2,1,1,2, ,2,1,2,1,1,1,1,1,1,1
323,3,2,1,2,4.5,3,1,2, ,1,3,1,2,2,1,1,1,1,2,3,1,1,1,2,1,3,1,1,2,3,1
324,3,1,1,1,1.5,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
325,3,2,1,4,5,3,2,2, ,4,5,2,1,1,2,3,3,4,2,2,3,2,3,2,1,2,2,1,1,1,2
327,2,2,1,2,3,2,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
329,1,3,1,3,3.5,2,1,2, ,2, ,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
330,1,2,1,2,2,2,2,2,3,2,3.5,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1
331,1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1, ,1,1,1
