subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,urint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
180,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
181,1,1,1,2,4.5,1,2,2,3,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
182,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
183,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
187,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
188,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
189,1,1,1,1,2,2,1,1,2,2,4.5,2,1,1,1,1,2,1,1,1, ,1,1,1,1,1,1,1,1,1,1
191,1,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
192,1,1,2,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
195,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
196,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
197,1,1,1,1,2,1,1,2, ,1,2,1,1,1,1,2,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
198,3,3,1,2,5,1,2,2,3,2,5,2,1,1,2,1,2,3,2,2,2,1,3,1,1,2,1,1, ,1,1
199,1,1,1,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,2,1,1,1,1,1,1
200,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,3,1,1,1,1,2,1,1,1
201,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
202,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
205,2,1,1,2,4.5,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
206,2,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
208,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
209,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
210,2,1,1,2,4.5,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
212,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
213,3,1,1,3,5,2,2,2,2,1,2,2,3,3,1,2,2,1,1,3,2,1,2,1,1,3,1,1,1,1,1
214,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
215,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
217,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,3,2,1,2,1,1,1
218,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
219,1,1,1,1,2,2,1,2, ,1,2,1,1,1,1,1,1,1,1,1, ,1,2,1,1,1,1,2,1,1,1
220,1,1,1,2,4.5,1,1,2, ,2,4.5,1,1,2,1,2,2,1,2,3,1,3,1, ,1,1,1,1,1,1,1
221,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
222,1,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
223,1,1,1,2,4.5,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1, ,1,1,1,1,1,1,1
224,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
225,1,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,2,1,1,1,1,1,1,1,1
226,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
227,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
228,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1, ,1,2,1,1,3,1,1,1,1,1
231,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
232,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
233,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
236,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
237,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,2,1,1,1,1,1,1,1,1
238,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,2,1,1,1,1
241,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
242,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
243,1,1,1,1,2,1,2,2,2,2,5,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
244,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,2,1, ,1,1, ,1,2,1,1,1,1,1
245,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
246,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
247, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
248,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
249,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
250,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
251,3,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,2,1
252,2,1,1,2,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
254,1,1,1,1,2,2,1,1,2,2,5,1,2,2,2,1,2,1,1,1, ,1,1,1,1,1,1,1,1,1,1
256,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,2,1,1,1
257,1,1,1,1,2,1,1,2, ,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
258,1,2,1,3,5,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,3,1,1
259,2,2,1,2,4.5,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
261,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
262,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
263,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1, ,1,1,1,1,1,1,1,1,1,1
266,1,1,1,1,2,1,2,2, ,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
267,2,2,1,2,5,2,2,2,3,2,5,2,1,2,2,1,2,1,1,1, ,2,3,2,1,2,1,1,2,2,2
268,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
270,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
272,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
274,2,1,1,1,2,1,2,2,2,2,4.5,1,1,1,1,1,1,1,1,1, ,1,1,1,2,1,1,1,1,1,1
275,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
276,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
278,2,1,2,1,2,2,1,2,2, , ,1,1,1,1,1,1,1,1,1, ,1,2,1,1,1,1,1,1,1,1
280,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
